25,192,320,1,0,0:0:0:0:
64,192,320,1,0,0:0:0:0:
106,192,320,1,0,0:0:0:0:
149,192,320,1,0,0:0:0:0:
192,192,320,1,0,0:0:0:0:
230,192,320,1,0,0:0:0:0:
281,192,320,1,0,0:0:0:0:
332,192,320,1,0,0:0:0:0:
384,192,320,1,0,0:0:0:0:
435,192,320,1,0,0:0:0:0:
486,192,320,1,0,0:0:0:0:
230,192,994,1,0,0:0:0:0:
281,192,1331,1,0,0:0:0:0:
281,192,1668,1,0,0:0:0:0:
281,192,2005,1,0,0:0:0:0:
230,192,2342,1,0,0:0:0:0:
281,192,2742,1,0,0:0:0:0:
281,192,3157,1,0,0:0:0:0:
230,192,3627,1,0,0:0:0:0:
281,192,4112,1,0,0:0:0:0:
281,192,4645,1,0,0:0:0:0:
179,192,6050,1,0,0:0:0:0:
230,192,6387,1,0,0:0:0:0:
230,192,6724,1,0,0:0:0:0:
230,192,7061,1,0,0:0:0:0:
230,192,7398,1,0,0:0:0:0:
230,192,7735,1,0,0:0:0:0:
179,192,8072,1,0,0:0:0:0:
128,192,8409,1,0,0:0:0:0:
76,192,8746,1,0,0:0:0:0:
128,192,9083,1,0,0:0:0:0:
179,192,9420,1,0,0:0:0:0:
128,192,9757,1,0,0:0:0:0:
128,192,10094,1,0,0:0:0:0:
192,192,10431,1,0,0:0:0:0:
149,192,10768,1,0,0:0:0:0:
76,192,11105,1,0,0:0:0:0:
106,192,11442,1,0,0:0:0:0:
106,192,11780,1,0,0:0:0:0:
64,192,12117,1,0,0:0:0:0:
25,192,12454,1,0,0:0:0:0:
76,192,12791,1,0,0:0:0:0:
128,192,13128,1,0,0:0:0:0:
179,192,13465,1,0,0:0:0:0:
106,192,13802,1,0,0:0:0:0:
179,192,14139,1,0,0:0:0:0:
230,192,14476,1,0,0:0:0:0:
230,192,14813,1,0,0:0:0:0:
179,192,15150,1,0,0:0:0:0:
281,192,15487,1,0,0:0:0:0:
281,192,15824,1,0,0:0:0:0:
230,192,16162,1,0,0:0:0:0:
179,192,16499,1,0,0:0:0:0:
106,192,16836,1,0,0:0:0:0:
179,192,17173,1,0,0:0:0:0:
230,192,17510,1,0,0:0:0:0:
179,192,17847,1,0,0:0:0:0:
106,192,18184,1,0,0:0:0:0:
192,192,18521,1,0,0:0:0:0:
149,192,18858,1,0,0:0:0:0:
76,192,19195,1,0,0:0:0:0:
106,192,19532,1,0,0:0:0:0:
179,192,19869,1,0,0:0:0:0:
230,192,20038,1,0,0:0:0:0:
281,192,20206,1,0,0:0:0:0:
106,192,20544,1,0,0:0:0:0:
192,192,20881,1,0,0:0:0:0:
230,192,21049,1,0,0:0:0:0:
281,192,21218,1,0,0:0:0:0:
281,192,21555,1,0,0:0:0:0:
